id,titular,cuerpo,fecha_emision,categoria
EP-2026-0501-001,"El Gobierno aprueba el plan de vivienda para jóvenes menores de 35 años","El Consejo de Ministros ha dado luz verde al nuevo plan de vivienda que incluye ayudas directas y avales para la compra de primera vivienda destinados a jóvenes menores de 35 años. La medida contempla un presupuesto de 2.500 millones de euros.",2026-05-01T10:30:00,politica
EP-2026-0501-002,"España registra un crecimiento del PIB del 2,4% en el primer trimestre","La economía española creció un 2,4% interanual en el primer trimestre de 2026, según los datos avanzados por el INE. El dato supera las previsiones de los analistas que apuntaban a un 2,1%.",2026-05-01T09:00:00,economia
EP-2026-0502-001,"La selección española de fútbol convoca a 25 jugadores para la Nations League","El seleccionador ha dado a conocer la lista de 25 futbolistas que disputarán los próximos partidos de la Nations League. Entre las novedades destaca la vuelta de varios jugadores lesionados.",2026-05-02T14:00:00,deportes
EP-2026-0502-002,"El Banco de España alerta sobre el aumento de la morosidad hipotecaria","El supervisor bancario ha publicado un informe en el que señala un repunte del 0,3% en la tasa de morosidad hipotecaria durante el primer trimestre, pidiendo vigilancia a las entidades financieras.",2026-05-02T11:00:00,economia
EP-2026-0503-001,"Pedro Sánchez y Macron acuerdan una posición común sobre la reforma migratoria europea","Los presidentes de España y Francia han alcanzado un acuerdo bilateral sobre los principales puntos de la reforma migratoria que se debatirá en el próximo Consejo Europeo.",2026-05-03T16:00:00,politica
EP-2026-0503-002,"Récord de turistas internacionales en España durante la Semana Santa de 2026","España ha recibido 12,3 millones de turistas internacionales durante la Semana Santa, un 8% más que el año anterior, consolidando su posición como segundo destino mundial.",2026-05-03T12:00:00,economia
EP-2026-0504-001,"Investigadores españoles desarrollan un nuevo tratamiento contra el Alzheimer","Un equipo del CSIC ha presentado resultados prometedores de un fármaco experimental que ralentiza significativamente la progresión del Alzheimer en ensayos clínicos de fase 2.",2026-05-04T08:00:00,ciencia
EP-2026-0504-002,"La DANA deja lluvias torrenciales en la Comunidad Valenciana y Murcia","La Agencia Estatal de Meteorología mantiene la alerta roja en varias comarcas de Valencia y Murcia por lluvias que acumulan más de 150 litros por metro cuadrado en pocas horas.",2026-05-04T07:00:00,sociedad
EP-2026-0505-001,"El Tribunal Supremo avala la constitucionalidad de la ley de amnistía","El pleno del Tribunal Supremo ha respaldado por mayoría la constitucionalidad de la ley de amnistía aprobada por el Congreso, poniendo fin a meses de debate jurídico.",2026-05-05T18:00:00,politica
EP-2026-0505-002,"Telefónica anuncia un plan de inversión de 3.000 millones en inteligencia artificial","La operadora española ha presentado su estrategia de IA para los próximos tres años, que incluye la creación de un centro de excelencia en Barcelona y la contratación de 500 especialistas.",2026-05-05T10:00:00,economia
